cba	Grievance Procedure	Gender Equality	Sexual Harrassment	Discrimination	Composite Equality
la-convention-collective-applicable-au-personnel-de-la-presse-en-republique-du-benin	1.0	1.0	1.0	2.0	1.17
projet-de-loi-portant-statut-general-de-la-fonction-publique	1.0	1.44	5.0	3.0	2.82
convention-collective-de-travail-portant-reglement-general-et-statuts-du-personnel-du-centre-national-de-securite-routiere	1.0	1.0	1.0	3.0	1.47
convention-collective-du-travail-applicable-au-personnel-de-la-cnss	1.0	1.0	1.0	2.0	1.17
convention-collective-de-travail-applicable-au-personnel-de-la-centrale-d-achat-des-medicaments-essentiels-et-consommables-medicaux-came---2011	1.0	1.44	1.0	2.0	1.3
convention-collective-du-travail-du-sucrerie-de-complant-du-benin-s-a-	1.0	1.44	1.0	2.0	1.3
convention-collective-ostie---organisation-sanitaire-tananarivienne-inter-entreprise	1.0	1.44	1.0	1.0	1.0
air-madagascar-convention-collective-generale	1.0	1.44	1.0	1.0	1.0
convention-collective-du-corps-des-travailleurs-de-la-societe-de-manutention-des-marchandises-conventionnelles	1.0	1.44	1.0	1.0	1.0
convention-collective-de-la-jiro-sy-rano-eto-madagasikara-jirama-	1.0	1.44	1.0	1.0	1.0
convention-collective-floreal-madagascar	1.0	1.44	1.0	2.0	1.3
convention-collective-regissant-les-rapports-entre-l-ader-et-ses-employes	1.0	1.89	1.0	2.0	1.44
convention-d-entreprise-bank-of-africa-madagascar-	1.0	1.44	1.0	2.0	1.3
convention-collective-de-la-solitany-malagasy-solima---1995	1.0	1.44	1.0	2.0	1.3
convention-collective-des-banques-etablissements-financiers-du-niger	1.0	1.44	1.0	2.0	1.3
niger---convention-collective-interprofessionnelle	1.0	1.44	1.0	2.0	1.3
accord-d-entreprise-de-la-soci-t-d-exploitation-des-eaux-du-niger-seen-du-17-mai-2007-r-vis-le-12-aout-2015	1.0	1.89	1.0	1.0	1.14
convention-collective-professionnelle-des-transports-routiers	1.0	1.44	1.0	2.0	1.3
convention-collective-des-journalistes-et-techniciens-de-la-communication-sociale-du-senegal	1.0	1.89	1.0	2.0	1.44
convention-collective-federale-des-industries-de-la-mecanique-generale-de-l-aof	1.0	1.44	1.0	2.0	1.3
convention-collective-federale-des-auxiliaires-de-transports-de-l-aof	1.0	1.44	1.0	2.0	1.3
convention-collective-des-transports-aeriens-	1.0	1.44	1.0	2.0	1.3
convention-collective-nationale-des-industries-hotelieres-de-la-republique-du-senegal-	1.0	1.44	1.0	2.0	1.3
convention-collective-du-commerce-	1.0	1.44	1.0	2.0	1.3
convention-collective-nationale-interprofessionnelle-du-s-n-gal	1.0	1.44	1.0	2.0	1.3
convention-collective-des-industries-extractives-et-de-la-prospection-miniere-de-la-federation-du-mali	1.0	1.44	1.0	2.0	1.3
convention-collective-f-d-rale-de-l-industrie-textile-de-l-afrique-occidentale-fran-aise	1.0	1.44	1.0	2.0	1.3
convention-collective-federale-des-industries-chimiques-de-l-afrique-occidentale-francaise-1958	1.0	1.44	1.0	2.0	1.3
convention-collective-f-d-rale-de-l-industrie-des-corps-gras-de-l-afrique-occidentale-fran-aise---1958	1.0	1.44	1.0	2.0	1.3
convention-collective-federale-des-industries-alimentaires-1958	1.0	1.44	1.0	2.0	1.3
recognition-agreement-between-government-and-the-uganda-government-and-allied-workers-union	1.0	1.44	1.0	2.0	1.3
collective-bargaining-agreement-between-tropic-inn-hotel-limited-and-national-union-of-theatrical-domestic-and-general-workers	1.8	2.33	5.0	3.0	3.34
the-republic-of-uganda-collective-bargaining-agreement-between-fresh-handling-ltd-and-the-uganda-horticultural-and-allied-workers-union	1.8	1.89	5.0	1.0	2.59
the-republic-of-uganda-collective-bargaining-agreement-between-signatory-members-of-uganda-flower-exporters-association-and-uganda-horticultural-and-allied-workers-union-uhawu-	1.0	3.22	5.0	2.0	3.06
supplementary-agreement-between-tps-uganda-limited-uganda-hotels-food-tourism-and-allied-workers-union-	1.0	1.44	1.0	2.0	1.3
uganda-sample-cba-model-created-by-wageindicator-foundation	1.8	1.89	5.0	3.0	3.2
memorandum-of-agreement-on-terms-and-conditions-of-service-between-kaweri-coffee-plantation-limited-and-national-union-of-plantation-and-agricultural-workers-uganda-2016-2018	1.0	1.44	5.0	1.0	2.22
collective-bargaining-agreement-between-rene-industries-limited-and-uganda-chemical-and-petroleum-workers-union-ucpawu---2014	1.0	1.0	5.0	2.0	2.39
collective-bargaining-agreement-cba-between-signatory-members-of-uganda-flower-exporters-association-and-uganda-horticultural-and-allied-workers-union-uhawu---2010	1.8	1.89	5.0	2.0	2.9
collective-bargaining-agreement-between-laico-lake-victoria-hotel-entebbe-and-uganda-hotels-food-tourism-supermarkets-allied-workers-union-hts--union---2016	1.0	1.44	1.0	1.0	1.0
the-collective-bargaining-agreement-between-tpc-limited-and-tanzania-social-services-industry-workers-union-tasiwu-	1.8	1.0	1.0	2.0	1.41
collective-bargaining-agreement-cba-concluded-between-the-tea-association-of-tanzania-tat-and-the-tanzania-plantation-and-agricultural-workers-union-tpawu-	1.0	1.44	5.0	1.0	2.22
collective-bargaining-agreement-between-tanzania-mines-energy-costruction-and-allied-workers-union-tamico-and-tanzaniteone-mining-ltd	1.0	1.44	5.0	2.0	2.52
recognition-agreement-entered-between-strabarg-international-gmbh-the-employer-and-tanzania-mines-energy-construction-and-allied-workers-union-tamico-the-union-	1.0	1.89	5.0	1.0	2.35
collective-bargaining-agreement-between-east-african-elevator-company-limited-and-communication-and-transport-worker-s-union-of-tanzania	1.0	1.44	1.0	1.0	1.0
collective-bargaining-agreement-between-mofed-tanzania-company-limited-and-communication-and-transport-worker-s-union-of-tanzania	1.0	1.0	1.0	2.0	1.17
collective-agreement-between-kiliflora-limited-and-tanzania-plantation-and-agricultural-workers-union-tpawu---2015	1.0	1.89	1.0	1.0	1.14
sample-collective-bargaining-agreement-created-by-wageindicator-foundation--2016-	1.0	1.0	5.0	3.0	2.69
regulamentacao-colectiva-do-trabalho-greif	1.0	1.0	1.0	2.0	1.17
acordo-de-empresa-entre-empresa-mo-ambicana-de-seguros-sa-e-os-trabalhadores-ao-seu-servi-o	1.0	1.0	1.0	2.0	1.17
acordo-de-empresa-entre-sind-cato-nacional-dos-profissionais-de-estiva-e-of-cios-correlativos-sinpeoc-e-companhia-de-desenvolvimento-do-porto-de-maputo-mpdc---2015	1.0	1.89	1.0	1.0	1.14
acordo-de-empresa-ae-entre-empresa-mo-ambique-celular-mcel-sarl-e-os-trabalhadores-ao-servi-o-desta---2009	1.0	1.0	1.0	2.0	1.17
estrutura-do-acordo-colectivo-de-trabalho---matanusca-mozambique-lda---2016	1.0	1.44	1.0	1.0	1.0
collective-bargaining-agreement-between-water-boards-and-water-employees-trade-union-of-malawi---2014	1.0	1.44	1.0	2.0	1.3
memorandum-of-agreement-between-karen-country-club-and-kenya-union-of-domestic-hotels-educational-institutions-hospitals-and-allied-workers-	1.0	1.0	1.0	2.0	1.17
association-of-local-government-employers-and-kenya-local-government-workers-union-national-joint-negotiating-council-incorporating-all-local-authorities-in-kenya	1.0	1.0	1.0	2.0	1.17
memorandum-of-agreement-between-blue-post-hotel-and-the-kenya-hotels-and-allied-workers-union	1.0	1.0	1.0	2.0	1.17
memorandum-of-agreement-between-wide-garments-kenya-epz-limited-and-tailors-and-textile-workers-union---2013	1.0	1.0	5.0	1.0	2.08
memorandum-of-agreement-between-alltex-epz-limited-and-tailors-and-textiles-workers-union---2012	1.8	1.0	5.0	1.0	2.32
memorandum-of-agreement-between-epz-apparel-manufacturers-and-exporters-group-of-f-k-e-and-tailor-and-textile-worker-union---2014-	1.8	1.0	5.0	1.0	2.32
sample-cba-model-created-by-wageindicator-foundation-2016	3.4	2.33	5.0	2.0	3.52
memorandum-of-agreement-between-epz-apparel-manufacturers-and-exporters-group-of-f-k-e-and-tailor-and-textile-worker-union---2015	1.8	1.0	5.0	1.0	2.32
memorandum-of-agreement-between-kapric-apparels-epz-limited-and-tailors-and-textile-workers-union---2013	1.0	1.0	5.0	1.0	2.08
exemple-de-convention-collective-de-travail-cr-e-par-wageindicator-foundation--2016	1.8	1.44	5.0	1.0	2.46
labour-collective-convention-between-trade-unions-cotraf-cestrar-and-sorwathe-ltd-	1.0	1.44	1.0	1.0	1.0
sheraton-addis-hotel-collective-agreement---2011	1.0	1.44	5.0	2.0	2.52
10th-collective-agreement-between-ethiopian-airlines-enterprise-and-ethiopian-airlines-basic-trade-union	1.0	1.44	5.0	1.0	2.22
duggda-cut-flower-plantation-workers-and-employer-s-cba	1.0	1.44	1.0	1.0	1.0
woyira-transport-plc-workers-and-employer-s-cb	1.0	1.44	1.0	1.0	1.0
sample-collective-bargaining-agreement-created-by-wageindicator-foundation---2016	1.8	2.78	5.0	3.0	3.47
bkrobe	1.0	1.44	1.0	1.0	1.0
mahaver-industry	1.0	1.0	1.0	2.0	1.17
nazrath-garment	1.0	1.44	1.0	1.0	1.0
zong-eth-textile-factory-2018	1.0	1.89	1.0	2.0	1.44
-1-2003-377-96-	1.0	1.44	5.0	2.0	2.52
-15-	1.0	1.44	1.0	1.0	1.0
ma-garment-and-textile-plc	1.0	1.44	5.0	2.0	2.52
novaster-garment-2008	1.0	1.44	1.0	2.0	1.3
collective-bargaining-agreement-between-almeda-textile-plc-and-its-basic-trade-union-2014---2017	1.0	1.44	1.0	2.0	1.3
---bahir-dar-textile-share-company-	1.0	1.44	1.0	2.0	1.3
memorandum-of-collective-agreement-between-professional-life-assurance-limited-and-zambia-union-of-financial-institutions-and-allied-workers-zufiaw---2015	1.0	1.44	1.0	1.0	1.0
memorandum-of-collective-agreement-between-first-alliance-bank-z-limited-and-zambia-union-of-financial-institutions-and-allied-workers---2016	1.0	1.44	1.0	1.0	1.0
acordo-coletivo-de-trabalho-2012-2014-sindicato-dos-trabalhadores-em-empresas-de-telecomunicacoes-e-operadores-de-mesas-telefonicas-do-estado-do-parana-e-brasil-telecom-call-center	1.0	1.44	1.0	1.0	1.0
acordo-coletivo-de-trabalho-2013-2015-petr-leo-brasileiro-s-a---petrobras	1.0	1.89	1.0	3.0	1.74
acordo-coletivo-de-trabalho---sindicato-dos-trabalhadores-em-empresas-de-transportes-metrovi-rios-e-em-empresas-operadoras-de-ve-culos-leves-sobre-trilhos-no-estado-de-s-o-paulo---2013-2014	1.0	1.44	1.0	1.0	1.0
conven-o-coletiva-de-trabalho-2013-2014-sindicato-trabalho-ind-fiacao-e-tec-de-paulista-e-igarassu	1.8	1.0	1.0	2.0	1.41
conven-o-coletiva-de-trabalho-entre-sindicato-da-industria-de-calcados-de-novo-hamburgo-e-sindicato-dos-trabalhadores-de-calcado-de-novo-hamburgo---2014-2015	1.0	1.44	1.0	2.0	1.3
conven-o-coletiva-de-trabalho-entre-sind-dos-cultivadores-de-cana-de-acucar-no-estado-de-pe-e-federacao-trabalhadores-agricultura-estado-pernambuco---2014-2015	1.0	2.33	5.0	2.0	2.79
conven-o-coletiva-de-trabalho-entre-sindicato-dos-oficiais-alfaiates-costureiras-e-trabalhadores-nas-industrias-de-confeccao-de-roupas-e-de-chapeus-de-senhoras-de-sao-paulo-e-osasco---2014-2015	1.0	1.44	1.0	1.0	1.0
acordo-coletivo-de-trabalho-entre-servi-o-federal-de-processamento-de-dados-serpro-e-federa-o-nacional-dos-trabalhadores-de-empresas-de-processamento-de-dados-servi-os-de-inform-tica-e-similares-fenadado---2014-2015	1.0	1.89	5.0	2.0	2.66
conven-o-coletiva-de-trabalho-entre-sindicato-dos-trabalhadores-do-ramo-qu-mico-petroleiro-do-estado-da-bahia-e-sindicato-das-ind-strias-de-produtos-qu-micos-para-fins-industriais-petroqu-micas-e-de-resinas-sint-ticas-de-cama-ari-candeias-e-dias-d-vila---2013-2015	1.0	1.89	1.0	2.0	1.44
convenio-colectivo-de-trabajo	1.0	1.0	1.0	2.0	1.17
acta-final-de-convencion-colectiva-entre-yobel-scm-costume-jewerly-s-a-y-sindicato-de-trabajadores-de-yobel-scm-costume-jewerly-s-a	1.0	1.0	1.0	2.0	1.17
acta-de-acuerdo-entre-la-empresa-minera-yanacocha-s-r-l-y-el-sindicato-de-trabajadores-de-compa-a-minera-yanacocha--sitracomy	1.0	1.0	1.0	2.0	1.17
convenio-colectivo-entre-pluspetrol-s-a-y-la-asociacion-del-personal-jer-rquico-del-agua-y-la-energ-a-apjae-	1.0	1.0	1.0	2.0	1.17
acta-de-reuni-n-del-proceso-de-negociaci-n-entre-le-biblioteca-nacional-del-per-bnp-y-del-sindicato-unificado-de-trabajadores-de-la-biblioteca-nacional-del-per-sut-bnp-2015	1.0	1.89	5.0	2.0	2.66
convenci-n-colectiva-de-trabajo-entre-el-servicio-nacional-de-sanidad-agraria-senasa--y-el-sindicato-de-trabajadores-del-servicio-nacional-de-sanidad-agraria-2015	1.8	1.0	1.0	2.0	1.41
negociaci-n-colectiva-realizada-entre-el-sindicato-de-supervisores-y-personal-de-confianza-de-minera-barrick-misquichilca-s-a-y-la-empresa-minera-barrick-misquichilca-s-a-2014-2015	1.0	1.0	1.0	2.0	1.17
convenio-colectivo-entre-la-municipalidad-distrital-de-miraflores-y-el-sindicato-de-trabajadores-empleados-de-la-municipalidad-distrital-de-miraflores-sitraemun-2015	1.0	1.0	1.0	2.0	1.17
convenci-n-colectiva-de-trabajo-entre-la-municipalidad-de-san-carlos-y-el-sindicato-de-trabajadores-de-la-municipalidad-de-san-carlos-sitramusca-	1.0	1.0	5.0	1.0	2.08
convenci-n-colectiva-de-trabajo-de-la-corporacion-de-desarrollo-agricola-del-monte-s-a-	1.8	1.0	5.0	2.0	2.63
cuarta-convenci-n-colectiva-compa-a-bananera-atlantica--departamento-de-operaciones-portuarias-de-lim-n-	1.8	1.44	5.0	1.0	2.46
convenci-n-colectiva-de-trabajo-entre-nosotros-el-ingenio-taboga-sociedad-an-nima-y-el-sindicato-de-trabajadores-de-la-industria-de-la-ca-a-sintraica-	1.8	1.0	5.0	2.0	2.63
undecima-convencion-colectiva-de-trabajo-chiriqui-land-company---sitrachiri	1.8	1.0	5.0	2.0	2.63
convenci-n-colectiva-mep-sec-sitracome	1.0	1.44	5.0	2.0	2.52
convenci-n-colectiva-de-trabajo-municipalidad-del-cant-n-de-palmares	2.6	1.44	5.0	1.0	2.7
convenci-n-colectiva-de-trabajo-suscrita-entre-el-ministerio-de-educaci-n-p-blica-y-los-sindicatos-sindicato-de-trabajadoras-y-trabajadores-de-la-educaci-n-costarricense-sec-y-el-sindicato-de-trabajadores-de-comedores-escolares-y-afines-sitracome-	1.0	1.0	5.0	2.0	2.39
contrato-colectivo-entre-sindicato-de-trabajadores-y-trabajadoras-ministerio-de-hacienda---sitramha	1.8	2.33	1.0	3.0	2.12
contrato-colectivo-de-trabajo-instituto-nacional-de-pensiones-de-los-empleados-p-blicos	1.0	2.33	1.0	3.0	1.88
contrato-colectivo-de-trabajo-del-c-ntro-nacional-de-registros	1.0	1.0	1.0	3.0	1.47
contrato-colectivo-de-trabajo-entre-el-sindicato-de-trabajadores-del-ministerio-del-medio-ambiente-y-recursos-naturales-sitmarn-y-el-ministerio-del-medio-ambiente-y-recursos-naturales	1.0	1.44	1.0	3.0	1.61
contrato-colectivo-de-trabajo-entre-el-sindicato-de-trabajadores-del-ministerio-de-econom-a-sitme-y-el-ministerio-de-econom-a-minec	1.8	2.33	1.0	3.0	2.12
contrato-colectivo-de-trabajo-entre-el-ministerio-de-trabajo-y-previsi-n-social-y-el-sindicato-de-trabajadores-y-trabajadoras-del-ministerio-de-trabajo-y-previsi-n-social	2.6	2.33	5.0	3.0	3.58
contrato-colectivo-de-trabajo-celebrado-entre-ingenio-el-angel-s-a-de-c-v-y-el-sindicato-de-trabajadores-de-empresa-ingenio-el-angel-2011-2012	1.8	1.0	1.0	3.0	1.72
contrato-colectivo-de-trabajo-revisado-celebrado-y-suscrito-entre-instituto-salvadore-o-de-transformaci-n-agraria-ista-y-el-sindicato-de-empresa-trabajadores-del-instituto-salvadore-o-de-transformaci-n-agraria-setista-2011-2013	1.0	1.0	1.0	2.0	1.17
contrato-colectivo-de-trabajo-entre-la-sociedad-calvoconservas-el-salvador-s-a-de-c-v-y-el-sindicato-de-trabajadores-de-empresa-calvo-conservas-el-salvador-s-a-de-c-v-steccessacv-2010-2013	1.0	1.0	1.0	2.0	1.17
contrato-colectivo-de-trabajo-celebrado-entre-la-alcald-a-municipal-de-juayua-departamento-de-sonsonate-y-el-sindicato-de-trabajadores-de-la-alcald-a-municipal-de-juay-a-sitamj-2017-2019	1.0	1.44	1.0	3.0	1.61
contrato-colectivo-de-trabajo-celebrado-entre-el-instituto-salvadore-o-del-seguro-social-y-el-sindicato-de-trabajadores-del-instituto-salvadore-o-del-seguro-social	1.0	2.33	1.0	1.0	1.27
pacto-colectivo-de-condiciones-de-trabajo-suscrito-entre-el-sindicato-de-trabajadores-de-la-municipalidad-de-chiquimula-sitramunich-y-la-municipalidad-de-chiquimula-del-departamento-de-chiquimula-	1.0	1.0	1.0	2.0	1.17
pacto-colectivo-de-condiciones-de-trabajo-negociado-y-suscrito-por-el-sindicato-de-trabajadores-de-la-municipalidad-de-el-estor-del-departamento-de-izabal-sitrame-y-la-municipalidad-de-el-estor-del-departamento-de-izabal-	1.0	1.0	1.0	2.0	1.17
pacto-colecivo-de-condiciones-de-trabajo-suscrito-entre-el-sindicato-de-trabajadores-de-la-municipalidad-de-chichicastenango-quiche-y-la-municipalidad-de-santo-tomas-chichicastenango-departamento-de-el-quiche	1.0	1.0	1.0	2.0	1.17
pacto-colectivo-de-condiciones-de-trabajo-entre-el-sindicato-de-trabajadores-municipales-de-patulul-y-la-municipalidad-de-patulul-del-departamento-de-suchitepequez-	1.0	1.0	1.0	2.0	1.17
pacto-colectivo-de-condiciones-de-trabajo-entre-la-municipalidad-de-san-antonio-senah-del-departamento-de-alta-verapaz-y-los-trabajadores-de-la-municipalidad-de-san-antonio-senah-del-departamento-de-alta-verapaz	1.0	1.44	1.0	1.0	1.0
pacto-colectivo-de-condiciones-de-trabajo-suscrito-entre-la-municipalidad-de-morales-del-departamento-de-izabal-y-el-sindicato-de-trabajadores-de-la-municipalidad-de-morales-del-departamento-de-izabal-sitram	1.0	1.0	1.0	2.0	1.17
pacto-colectivo-de-condiciones-de-trabajo-suscrito-entre-la-municipalidad-de-la-villa-tactic-del-departamento-de-alta-verapaz-y-el-sindicato-de-trabajadores-de-la-municipalidad-de-tactic-del-departamento-de-alta-verapaz	1.0	1.0	1.0	2.0	1.17
pacto-colectivo-de-condiciones-de-trabajo-celebrado-entre-la-municipalidad-de-esquipulas-del-departamento-de-chiquimula-y-el-sindicato-de-trabajadores-de-la-municipalidad-de-esquipulas-del-departamento-de-chiquimula	1.0	1.0	1.0	2.0	1.17
conflicto-colectivo-022-1998-1-audiencia-de-conciliacion-tribunal-de-conciliacion-y-arbitraje-de-alta-verapaz-	1.0	1.0	1.0	3.0	1.47
pacto-colectivo-de-condiciones-de-trabajo-suscrito-entre-la-municipalidad-de-san-francisco-el-alto-del-departamento-de-totonicap-n-y-el-sindicato-de-trabajadores-de-la-municipalidad-de-san-francisco-el-alto-del-departamento-de-totonicap-n-	1.0	1.0	1.0	2.0	1.17
pacto-colectivo-de-condiciones-de-trabajo-industrias-alimenticias-kern-s-y-c-a-s-c-a-y-sindicato-de-trabajadores-de-industrias-alimenticias-kern-s-anexos-y-conexos	1.0	1.0	1.0	2.0	1.17
pacto-colectivo-de-condiciones-de-trabajo-suscrito-entre-la-municipalidad-de-santa-luc-a-cotzumalguapa-departamento-de-escuintla-y-el-sindicato-de-trabajadores-de-la-municipalidad-del-municipio-santa-luc-a-cotzumalguapa-del-departamento-de-escuintla_2013	1.0	1.44	1.0	2.0	1.3
pacto-colectivo-suscrito-entre-la-compa-a-bananera-guatemalteca-independiente-sociedad-an-nima-y-el-sindicato-de-trabajadores-de-la-empresa-taylor-presa-y-compa-a-limitada-2013-2016	1.0	1.0	1.0	2.0	1.17
modelo-de-pacto-colectivo-de-trabajo-creado-por-wageindicator-foundation-2016	1.0	1.0	1.0	3.0	1.47
pacto-colectivo-de-condiciones-de-trabajo-celebrado-entre-la-empresa-expansi-n-corporativa-milenium-sociedad-an-nima-y-el-sindicato-de-trabajadores-de-la-empresa-expansi-n-corporativa-milenium-sociedad-an-nima-2017-	1.8	1.44	1.0	2.0	1.55
pacto-colectivo-de-condiciones-de-trabajo-celebrado-entre-la-empresa-winners-sociedad-anonima-y-sitrawinsa-de-trabajadores-de-la-empresa-winners-sociedad-anonima-sitrawinsa-2016---2019	1.8	2.33	1.0	3.0	2.12
contrato-colectivo-de-condiciones-de-trabajo-entre-la-corporacion-municipal-de-tela-departamento-de-atlantida-y-el-sindicato-de-empleados-publicos-y-trabajadores-de-la-municipalidad-de-tela-	1.0	1.0	1.0	2.0	1.17
cuarto-contrato-colectivo-de-condiciones-de-trabajo-entre-la-empresa-minerales-de-occidente-s-a-y-el-sindicato-de-trabajadores-de-minerales-de-occidente-s-a-sitramino-	1.8	1.0	1.0	2.0	1.41
contrato-colectivo-de-condiciones-de-trabajo-celebrado-entre-la-empresa-mercantil-jerzees-buena-vista-s-de-r-l-y-el-sindicato-de-trabajadores-de-la-empresa-jerzees-buena-vista-s-de-r-l-sitrajerzeesbv-	1.8	1.0	1.0	2.0	1.41
contrato-colectivo-de-condiciones-de-trabajo-celebrado-entre-la-empresa-mercantil-jerzees-nuevo-d-a-s-de-r-l-y-el-sindicato-de-trabajadores-de-la-empresa-jerzees-nuevo-d-a-s-de-r-l-sitrajerzeesnd-	1.8	1.0	1.0	2.0	1.41
contrato-colectivo-de-condiciones-de-trabajo-celebrado-entre-la-empresa-mercantil-vfi-de-honduras-s-a-y-el-sindicato-de-trabajadores-de-la-empresa-vfi-de-honduras-s-a-sitravfi-	1.8	1.0	1.0	2.0	1.41
primer-memorial-respetuoso-de-condiciones-de-trabajo-negociado-entre-el-sindicato-de-empleados-y-trabajadores-de-cultura-artes-y-deportes-sitraecad-y-la-secretar-a-de-cultura-artes-y-deportes-scad-	1.8	1.0	1.0	2.0	1.41
septimo-contrato-colectivo-de-condiciones-de-trabajo-suscrito-entre-el-instituto-hondure-o-de-la-ni-ez-y-la-familia-ihnfa-y-el-sindicato-de-trabajadores-del-instituto-hondure-o-de-la-ni-ez-a-familia-sitraihnfa-	1.8	1.0	1.0	3.0	1.72
